order_id,customer_id,order_date,total_amount
1,107,2024-03-07,995.27
2,39,2024-07-01,74.44
3,281,2024-06-12,148.41
4,72,2023-10-29,955.1
5,407,2023-12-01,782.27
6,488,2023-09-16,731.47
7,514,2023-09-08,608.93
8,261,2024-01-08,835.78
9,113,2024-04-07,906.51
10,201,2023-08-26,749.98
11,602,2024-04-16,85.17
12,928,2023-08-20,991.48
13,957,2023-10-09,376.18
14,255,2024-06-19,615.71
15,517,2024-04-08,604.09
16,913,2023-10-24,35.52
17,362,2023-08-23,37.57
18,422,2024-02-01,776.27
19,491,2023-08-16,375.73
20,594,2023-12-25,863.57
21,288,2023-11-17,338.83
22,376,2024-06-04,391.61
23,390,2023-08-17,387.85
24,145,2023-10-31,705.41
25,461,2023-12-09,849.56
26,899,2023-09-12,328.86
27,644,2024-06-27,789.97
28,129,2024-05-03,379.99
29,826,2023-10-31,100.38
30,855,2023-07-20,527.35
31,700,2024-03-07,683.33
32,721,2024-03-12,663.75
33,868,2024-02-08,952.52
34,655,2023-10-17,522.96
35,65,2024-05-04,763.86
36,408,2023-07-17,117.87
37,501,2024-06-29,664.58
38,583,2023-08-10,566.46
39,655,2023-10-06,383.08
40,56,2024-01-05,168.63
41,140,2024-03-24,798.34
42,320,2024-06-20,991.19
43,934,2023-08-13,786.51
44,77,2024-06-06,290.53
45,909,2024-01-06,620.58
46,427,2023-08-18,592.93
47,134,2024-03-20,958.51
48,774,2023-10-10,302.88
49,280,2023-12-25,137.65
50,698,2024-07-05,530.81
51,642,2023-09-29,909.87
52,935,2024-06-26,206.88
53,19,2024-03-08,225.08
54,561,2024-07-01,326.14
55,250,2024-06-01,230.36
56,630,2024-06-15,893.35
57,149,2023-12-26,953.92
58,528,2024-05-09,275.04
59,537,2023-10-15,79.76
60,819,2024-04-26,425.14
61,180,2023-09-02,687.17
62,512,2023-11-08,727.93
63,413,2023-11-05,204.68
64,299,2024-07-14,253.43
65,3,2023-11-30,650.33
66,400,2023-08-23,179.26
67,965,2023-11-10,184.24
68,96,2024-04-01,680.57
69,172,2023-08-14,563.35
70,32,2024-04-21,914.21
71,826,2023-09-23,18.59
72,172,2023-12-06,871.15
73,327,2023-08-11,605.07
74,174,2024-07-11,16.8
75,197,2024-06-06,224.52
76,692,2024-04-26,780.35
77,572,2023-11-08,341.35
78,842,2024-07-07,882.75
79,734,2024-02-22,533.81
80,727,2024-03-05,621.58
81,398,2023-07-20,918.9
82,510,2024-07-03,720.24
83,261,2023-11-23,833.99
84,199,2024-02-26,286.97
85,376,2023-11-19,978.48
86,602,2024-02-13,847.4
87,199,2024-06-13,426.29
88,285,2024-03-29,702.19
89,77,2024-06-14,349.15
90,914,2023-09-28,491.43
91,863,2023-11-27,710.87
92,603,2023-08-21,781.43
93,459,2023-12-02,494.97
94,186,2024-05-05,356.64
95,459,2023-10-09,465.61
96,715,2024-02-26,754.84
97,461,2024-02-25,604.33
98,76,2023-08-28,366.27
99,786,2024-06-26,28.36
100,87,2024-03-11,311.33
101,35,2024-03-03,467.83
102,208,2023-08-15,880.02
103,539,2024-07-06,158.14
104,512,2024-06-06,702.26
105,735,2023-12-25,418.22
106,973,2024-03-27,230.4
107,713,2023-11-26,501.75
108,106,2024-04-06,58.2
109,158,2023-08-26,483.34
110,227,2023-12-11,918.73
111,332,2024-05-14,510.81
112,3,2024-04-18,963.15
113,643,2024-03-31,363.75
114,654,2024-01-31,118.51
115,870,2024-06-24,55.94
116,447,2023-11-10,686.49
117,560,2024-01-26,836.44
118,273,2024-04-28,692.52
119,896,2024-06-07,264.47
120,182,2023-09-04,924.91
121,269,2023-08-24,416.09
122,220,2024-03-07,606.55
123,428,2024-02-17,279.85
124,718,2024-05-10,564.13
125,813,2024-06-23,384.25
126,517,2023-10-20,987.6
127,95,2024-07-06,212.6
128,717,2024-05-04,752.95
129,229,2023-07-21,944.83
130,653,2024-02-06,445.12
131,941,2023-12-04,536.05
132,333,2024-04-12,52.39
133,879,2023-11-21,360.81
134,34,2023-11-29,925.23
135,28,2023-12-20,876.95
136,887,2023-11-06,620.2
137,940,2024-02-24,894.46
138,979,2023-10-05,564.47
139,879,2023-07-30,539.71
140,367,2024-06-11,304.55
141,61,2024-03-10,902.23
142,216,2023-10-16,673.9
143,442,2024-02-16,385.87
144,678,2024-03-20,757.78
145,70,2023-10-27,241.57
146,782,2024-03-23,614.31
147,47,2023-10-22,907.85
148,952,2023-07-28,199.95
149,127,2023-11-29,120.26
150,342,2024-06-02,598.46
151,308,2024-06-18,837.63
152,894,2024-01-24,753.22
153,512,2024-06-04,308.18
154,372,2024-04-20,716.7
155,491,2023-08-30,599.77
156,918,2024-05-16,89.18
157,101,2024-02-17,605.69
158,612,2024-04-15,227.04
159,416,2023-09-29,165.55
160,257,2024-01-27,604.36
161,234,2023-10-21,235.42
162,661,2023-09-14,948.79
163,997,2024-05-20,633.17
164,483,2024-01-10,789.98
165,520,2024-04-06,609.93
166,66,2023-12-23,968.8
167,894,2024-06-10,346.24
168,725,2023-11-08,492.94
169,6,2024-05-28,663.0
170,553,2024-07-12,341.01
171,856,2023-08-08,508.07
172,851,2024-06-15,582.5
173,522,2023-12-21,637.47
174,678,2024-01-19,994.94
175,110,2023-11-13,827.48
176,691,2023-12-20,881.32
177,141,2024-01-03,392.12
178,390,2023-11-18,513.41
179,956,2023-11-21,137.39
180,766,2024-06-10,384.07
181,642,2023-12-05,56.56
182,723,2024-02-14,243.07
183,378,2023-09-27,463.1
184,69,2023-10-14,848.15
185,135,2023-12-27,969.86
186,215,2024-05-19,903.12
187,365,2023-08-20,534.38
188,29,2024-07-13,701.94
189,592,2024-03-20,487.64
190,881,2024-01-17,692.15
191,832,2024-03-02,919.68
192,590,2024-02-10,83.11
193,446,2023-08-05,784.27
194,949,2024-04-10,625.57
195,487,2023-08-22,220.37
196,108,2023-09-30,897.48
197,460,2024-04-13,541.04
198,942,2024-04-16,85.93
199,596,2024-01-21,682.21
200,309,2023-07-30,516.04
201,953,2023-09-28,535.66
202,301,2024-03-12,283.79
203,498,2023-11-25,395.27
204,576,2023-11-04,269.33
205,581,2024-03-24,723.43
206,441,2023-09-26,314.38
207,925,2024-06-13,370.84
208,628,2024-07-05,293.34
209,138,2023-12-18,709.11
210,824,2024-07-06,184.79
211,556,2023-12-29,204.71
212,534,2024-01-02,743.12
213,825,2024-04-24,482.57
214,208,2023-07-26,647.13
215,990,2024-07-12,355.79
216,266,2024-01-09,907.8
217,762,2023-11-17,425.27
218,316,2023-10-26,643.55
219,750,2023-09-13,72.02
220,327,2023-11-06,995.81
221,81,2023-12-13,969.25
222,393,2024-04-04,264.6
223,845,2024-03-20,240.74
224,221,2024-05-27,116.37
225,532,2023-12-02,482.07
226,846,2023-08-21,570.99
227,258,2023-11-18,149.63
228,175,2024-01-09,378.67
229,731,2023-09-15,17.41
230,654,2024-06-17,745.09
231,782,2024-02-29,631.96
232,31,2024-04-03,615.53
233,965,2023-09-25,964.08
234,441,2023-07-22,436.14
235,170,2024-04-03,452.66
236,880,2024-01-13,900.99
237,761,2023-12-02,588.39
238,459,2024-04-10,622.95
239,292,2024-02-05,201.71
240,952,2023-10-22,926.69
241,912,2024-06-21,926.15
242,290,2023-12-14,526.15
243,654,2024-01-20,173.01
244,146,2024-04-01,756.76
245,934,2023-10-29,16.04
246,326,2024-05-08,566.4
247,672,2024-03-27,561.57
248,438,2023-10-20,763.78
249,621,2023-12-18,602.71
250,305,2023-09-25,987.45
251,813,2023-11-26,923.4
252,507,2023-08-26,659.75
253,92,2024-04-23,542.71
254,662,2024-05-21,349.19
255,763,2023-07-19,692.14
256,310,2024-06-06,121.32
257,560,2023-07-26,850.73
258,212,2024-01-31,565.69
259,207,2023-11-29,677.18
260,973,2023-10-05,663.27
261,499,2024-01-08,131.18
262,42,2024-04-28,809.27
263,69,2023-09-27,129.42
264,53,2023-07-28,537.24
265,189,2023-08-09,829.28
266,268,2023-10-01,260.66
267,432,2023-09-27,360.93
268,948,2023-10-20,961.47
269,130,2024-04-30,205.06
270,912,2024-04-27,853.73
271,215,2024-06-10,556.15
272,72,2024-01-19,115.62
273,413,2024-02-12,768.75
274,900,2023-08-22,112.83
275,110,2024-06-14,272.15
276,488,2024-05-28,604.87
277,132,2023-08-18,241.82
278,682,2024-03-04,791.3
279,886,2023-09-20,366.06
280,637,2024-04-06,950.73
281,388,2024-01-15,596.7
282,439,2023-08-03,755.42
283,500,2024-05-14,182.68
284,943,2024-05-14,15.11
285,471,2023-09-28,520.84
286,812,2024-04-02,616.38
287,284,2024-03-29,867.03
288,524,2024-05-31,16.66
289,864,2023-08-03,411.84
290,791,2023-12-20,722.66
291,820,2024-07-08,832.03
292,118,2023-10-18,959.68
293,220,2023-08-13,651.44
294,650,2024-05-31,598.3
295,693,2023-12-30,86.55
296,693,2023-12-07,190.34
297,620,2023-12-27,495.99
298,372,2024-01-16,435.4
299,787,2023-12-29,443.94
300,250,2023-07-21,973.76
